Student#,teacher,group,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17
1,A,1A,10,5,5,7,4,2,4,14,5,5,5,0,5,0,0,4,12
2,A,1A,12,5,4,8,4,4,5,18,5,0,5,0,0,5,0,4,17
3,A,1A,10,4,5,6,2,3,0,8,0,5,5,0,5,0,0,4,11
4,A,1A,18,5,6,8,5,3,4,15,5,5,5,0,5,0,5,4,12
5,A,1B,20,5,6,7,5,4,4,19,5,5,5,0,5,0,0,5,13
6,A,1A,16,5,6,8,6,3,1,19,0,0,5,0,5,0,0,4,11
7,A,1A,10,3,4,8,5,3,3,16,0,5,5,5,5,0,0,2,11
8,A,1A,7,4,6,6,3,2,0,14,0,0,5,0,0,0,0,5,2
9,A,1A,20,4,6,6,6,3,4,17,5,5,5,0,5,0,5,4,8
10,A,1A,11,5,5,7,6,3,2,17,5,5,5,0,0,0,0,4,12
11,A,1A,17,4,4,8,5,1,2,14,5,5,5,0,5,0,0,4,11
12,A,1A,17,5,6,8,5,3,2,11,5,0,5,0,0,0,5,5,15
13,A,1A,13,5,2,1,5,3,0,2,0,0,5,0,0,5,0,2,0
14,A,1A,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0
15,A,1A,13,3,4,8,2,1,0,15,5,0,0,0,5,0,0,0,4
16,A,1A,19,4,6,9,6,3,1,10,0,5,5,0,5,0,0,3,18
17,A,1A,9,4,5,6,6,2,3,0,5,0,5,0,0,0,0,3,9
18,A,1A,16,5,5,7,3,2,0,10,0,5,0,0,0,5,0,2,14
19,A,1A,7,5,6,6,5,3,2,10,0,0,5,0,5,0,0,3,3
20,A,1A,16,4,5,8,4,0,3,8,5,0,5,0,0,0,0,4,11
21,A,1A,18,4,6,6,5,2,5,15,5,5,5,5,5,5,0,5,10
22,A,1A,13,4,3,6,3,2,3,10,5,0,5,0,0,0,5,3,10
23,A,1B,4,3,1,4,3,1,0,11,5,0,5,5,0,0,5,2,12
24,A,1A,7,4,6,8,5,2,2,17,5,5,0,0,5,0,0,2,5
25,A,1A,6,4,5,7,6,2,3,14,0,5,0,0,5,0,0,5,11
26,A,1A,9,5,6,7,5,3,0,12,5,0,5,0,5,0,0,5,11
27,A,1A,14,4,2,0,2,2,2,9,5,0,5,5,0,0,0,3,4
28,A,1B,16,5,6,9,4,3,4,18,0,5,5,0,0,0,0,4,10
29,A,1B,14,3,6,5,4,2,1,12,5,5,5,0,5,5,0,4,9
30,A,1B,4,3,6,8,5,2,1,16,5,5,0,0,0,0,0,4,5
31,A,1B,4,3,0,7,2,1,0,8,5,5,5,5,0,0,0,3,8
32,A,1B,19,5,6,6,4,3,4,17,5,5,0,5,5,0,5,4,14
33,A,1B,3,4,0,5,2,2,0,11,0,0,0,0,0,0,0,2,4
34,A,1B,9,4,5,7,6,3,0,17,5,5,5,5,5,0,0,5,14
35,A,1B,5,3,5,7,2,3,2,12,5,0,5,0,5,5,0,3,14
36,A,1B,16,5,6,7,2,3,0,18,5,5,0,0,0,0,0,5,12
37,A,1B,16,4,5,7,1,4,1,14,5,5,5,0,0,0,0,2,9
38,A,1B,10,3,2,7,4,2,1,14,0,5,5,0,5,0,0,4,14
39,A,1A,18,4,6,7,5,2,3,13,5,5,0,5,0,0,0,5,14
40,A,1B,8,2,1,6,3,2,0,11,5,0,0,0,5,0,0,4,5
41,A,1B,17,4,5,9,5,2,4,16,5,0,0,5,5,0,5,4,6
42,B,1D,8,4,4,9,4,3,4,11,5,0,5,0,0,0,0,4,6
43,A,1B,20,5,5,9,5,3,4,19,0,5,5,5,5,5,0,4,19
44,A,1B,25,5,6,9,6,4,4,14,5,5,5,0,5,0,5,4,17
45,A,1B,1,2,1,3,2,0,0,2,0,0,5,0,0,5,0,1,0
