no;code;ela;Guess;STret;LTret
1;RIWE;1;78;94;78
2;LBRA;1;50;56;39
3;HWOL;1;56;100;83
4;AWES;1;22;67;67
5;MMUN;1;39;100;89
6;FVEL;1;22;100; 
7;MSTU;1;17;89;61
8;DITER;1;44;78;33
9;HJAN;1;39;89;72
10;STID;1;28;100;56
11;OPEE;1;22;44;61
12;MLAN;1;50;67;50
13;ISAN;1;61;83;44
14;MSCHE;1;72;100;72
15;TVERM;1;89;100;100
16;HNIJ;1;67;100;83
17;ASLA;1;33;94;72
18;MJON;1;67;100;78
19;KARI;1;61;100;94
20;EVOS;1;67;89;83
21;MEIS;1;17;100;72
22;PKOO;1;33;94;61
23;WBET;1;67;100;67
24;PGAN;1;67;100;89
25;JSMI;1;67;100;89
26;SVOS;1;67;100;89
27;WUEV;1;67;100;94
28;RLAL;1;50;100;83
29;DKEI;1;67;94;83
30;ALYA;2;44;100;100
31;STEM;2;44;100;89
32;FJAG;2;28;100;67
33;ANAS;2;44;100;83
34;RBRA;2;50;100;56
35;PETE;2;33;78;67
36;CJOL;2;61;100;78
37;JVIN;2;44;72;33
38;FHOV;2;50;94;56
39;MAAI;2;28;67;61
40;JZWO;2;44;78;78
41;RZIJ;2;56;78;56
42;AWIL;2;11;100;78
43;TSPA;2;39;94;78
44;SGER;2;44;100;89
45;MARL;2;17;94;28
46;RVER;2;50;83;50
47;WSAV;2;56;100;72
48;AJEU;2;33;100;33
49;MSMI;2;33;78;28
50;MOTT;2;39;94;61
51;MPIJ;2;67;100;89
52;BRIE;2;44;100;39
53;JMUL;2;61;100;94
54;BDUS;2;67;100;100
55;LKRO;2;33;100;56
56;KLM;1;45;100;85
57;RTL;2;55;93;43
58;TWL;2;53;87;35
59;PLE;1;65;100;81
